[TraceId: ] 2023-12-05 22:26:15.139 [main] INFO  com.newone.mall.web.MallModuleWebApplication - Starting MallModuleWebApplication using Java 1.8.0_351 on LAPTOP-PNSKHFGS with PID 26880 (E:\gitee\SpringBoot-Mall\springboot-mall\mall-module-web\target\classes started by newone in E:\gitee\SpringBoot-Mall\springboot-mall)
[TraceId: ] 2023-12-05 22:26:15.141 [main] INFO  com.newone.mall.web.MallModuleWebApplication - The following profiles are active: prod
[TraceId: ] 2023-12-05 22:26:16.252 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2023-12-05 22:26:16.252 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.34] using APR version [1.7.0].
[TraceId: ] 2023-12-05 22:26:16.253 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
[TraceId: ] 2023-12-05 22:26:16.253 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[TraceId: ] 2023-12-05 22:26:16.255 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1o  3 May 2022]
[TraceId: ] 2023-12-05 22:26:16.260 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2023-12-05 22:26:16.260 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2023-12-05 22:26:16.303 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2023-12-05 22:26:16.303 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1129 ms
[TraceId: ] 2023-12-05 22:26:17.494 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.newone.mall.common.domain.vo.OrderProductVO".
[TraceId: ] 2023-12-05 22:26:17.495 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.newone.mall.common.domain.vo.OrderProductVO ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
[TraceId: ] 2023-12-05 22:26:17.728 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4667c4c1, org.springframework.security.web.context.SecurityContextPersistenceFilter@32fa809f, org.springframework.security.web.header.HeaderWriterFilter@32e652b6, org.springframework.security.web.authentication.logout.LogoutFilter@6056232d, com.newone.mall.jwt.filter.TokenAuthenticationFilter@245ec1a6, com.newone.mall.jwt.filter.JwtAuthenticationFilter@2f9a4401, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@49f40c00, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@e76b097, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@65eb76cd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22c75c01, org.springframework.security.web.session.SessionManagementFilter@7593ea79, org.springframework.security.web.access.ExceptionTranslationFilter@123d7057, org.springframework.security.web.access.intercept.AuthorizationFilter@61a91c9b]
[TraceId: ] 2023-12-05 22:26:17.951 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2023-12-05 22:26:17.958 [main] INFO  com.newone.mall.web.MallModuleWebApplication - Started MallModuleWebApplication in 3.172 seconds (JVM running for 3.873)
[TraceId: ] 2023-12-05 22:27:14.701 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
[TraceId: ] 2023-12-05 22:27:14.701 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
[TraceId: ] 2023-12-05 22:27:14.702 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 1 ms
[TraceId: ] 2023-12-05 22:27:14.764 [http-nio-8080-exec-1] INFO  com.zaxxer.hikari.HikariDataSource - Weblog-HikariCP - Starting...
[TraceId: ] 2023-12-05 22:28:07.852 [main] INFO  com.newone.mall.web.MallModuleWebApplication - Starting MallModuleWebApplication using Java 1.8.0_351 on LAPTOP-PNSKHFGS with PID 28552 (E:\gitee\SpringBoot-Mall\springboot-mall\mall-module-web\target\classes started by newone in E:\gitee\SpringBoot-Mall\springboot-mall)
[TraceId: ] 2023-12-05 22:28:07.853 [main] INFO  com.newone.mall.web.MallModuleWebApplication - The following profiles are active: prod
[TraceId: ] 2023-12-05 22:28:08.655 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
[TraceId: ] 2023-12-05 22:28:08.656 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.34] using APR version [1.7.0].
[TraceId: ] 2023-12-05 22:28:08.656 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true], UDS [true].
[TraceId: ] 2023-12-05 22:28:08.656 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
[TraceId: ] 2023-12-05 22:28:08.658 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1o  3 May 2022]
[TraceId: ] 2023-12-05 22:28:08.663 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
[TraceId: ] 2023-12-05 22:28:08.663 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.56]
[TraceId: ] 2023-12-05 22:28:08.705 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
[TraceId: ] 2023-12-05 22:28:08.705 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 820 ms
[TraceId: ] 2023-12-05 22:28:09.558 [main] WARN  c.b.mybatisplus.core.metadata.TableInfoHelper - Can not find table primary key in Class: "com.newone.mall.common.domain.vo.OrderProductVO".
[TraceId: ] 2023-12-05 22:28:09.558 [main] WARN  c.b.mybatisplus.core.injector.DefaultSqlInjector - class com.newone.mall.common.domain.vo.OrderProductVO ,Not found @TableId annotation, Cannot use Mybatis-Plus 'xxById' Method.
[TraceId: ] 2023-12-05 22:28:09.718 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@4667c4c1, org.springframework.security.web.context.SecurityContextPersistenceFilter@32fa809f, org.springframework.security.web.header.HeaderWriterFilter@32e652b6, org.springframework.security.web.authentication.logout.LogoutFilter@6056232d, com.newone.mall.jwt.filter.TokenAuthenticationFilter@245ec1a6, com.newone.mall.jwt.filter.JwtAuthenticationFilter@2f9a4401, org.springframework.security.web.authentication.www.BasicAuthenticationFilter@49f40c00, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@e76b097, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@65eb76cd, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@22c75c01, org.springframework.security.web.session.SessionManagementFilter@7593ea79, org.springframework.security.web.access.ExceptionTranslationFilter@123d7057, org.springframework.security.web.access.intercept.AuthorizationFilter@61a91c9b]
[TraceId: ] 2023-12-05 22:28:09.836 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
[TraceId: ] 2023-12-05 22:28:09.842 [main] INFO  com.newone.mall.web.MallModuleWebApplication - Started MallModuleWebApplication in 2.316 seconds (JVM running for 2.998)
